"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Col12a11",0,1.44090622031057,0.712,0.123,0,"9","Col12a1"
"Sparc2",0,1.43779476057152,0.931,0.267,0,"9","Sparc"
"Apoe1",0,1.4371612382244,0.786,0.207,0,"9","Apoe"
"Dpysl3",0,1.43159218061553,0.662,0.136,0,"9","Dpysl3"
"Lpar11",0,1.41690757447966,0.767,0.18,0,"9","Lpar1"
"Ank21",0,1.416667809424,0.698,0.139,0,"9","Ank2"
"Sorbs11",0,1.41613135783414,0.842,0.237,0,"9","Sorbs1"
"Scn7a",0,1.4042975592486,0.409,0.027,0,"9","Scn7a"
"Efna51",0,1.39356627119129,0.851,0.149,0,"9","Efna5"
"Ltbp11",0,1.39219151153076,0.718,0.094,0,"9","Ltbp1"
"Il1rap",0,1.38293926165033,0.667,0.075,0,"9","Il1rap"
"Gpc62",0,1.36768658942855,0.819,0.162,0,"9","Gpc6"
"Ldb21",0,1.3394181406956,0.766,0.17,0,"9","Ldb2"
"Luzp2",0,1.33829664331425,0.551,0.003,0,"9","Luzp2"
"Megf9",0,1.33568223312391,0.753,0.077,0,"9","Megf9"
"Col11a1",0,1.32411353033952,0.587,0.016,0,"9","Col11a1"
"Fign",0,1.32308548047662,0.671,0.057,0,"9","Fign"
"P3h2",0,1.31763293439781,0.614,0.067,0,"9","P3h2"
"Gjc3",0,1.31232302830446,0.662,0,0,"9","Gjc3"
"Prnp",0,1.30586249846984,0.813,0.122,0,"9","Prnp"
"Poc1a",0,1.3031917097905,0.623,0.034,0,"9","Poc1a"
"Spon1",0,1.29537950940689,0.693,0.03,0,"9","Spon1"
"Frmd4a1",0,1.29462238704377,0.834,0.166,0,"9","Frmd4a"
"Cdh10",0,1.2941994675781,0.539,0.008,0,"9","Cdh10"
"Tspan3",0,1.28086665173311,0.899,0.301,0,"9","Tspan3"
"Afap1l2",0,1.27643463187595,0.722,0.066,0,"9","Afap1l2"
"Ncam2",0,1.26916473664736,0.464,0.028,0,"9","Ncam2"
"Fam184b",0,1.26787612744584,0.601,0.016,0,"9","Fam184b"
"Zfhx41",0,1.26785970333966,0.746,0.113,0,"9","Zfhx4"
"Arhgap42",0,1.26181997878758,0.76,0.181,0,"9","Arhgap42"
"Gab1",0,1.25723952299823,0.747,0.153,0,"9","Gab1"
"Syt11",0,1.25479458338573,0.754,0.041,0,"9","Syt11"
"Rarb",0,1.25177358952521,0.702,0.049,0,"9","Rarb"
"Ascl1",0,1.24673832395533,0.473,0.002,0,"9","Ascl1"
"Tnc",0,1.24315466782985,0.583,0.088,0,"9","Tnc"
"Erc2",0,1.21902357607037,0.549,0.02,0,"9","Erc2"
"Rgmb",0,1.21788500457957,0.679,0.082,0,"9","Rgmb"
"Plekhb1",0,1.21562776678536,0.683,0.002,0,"9","Plekhb1"
"Sash11",0,1.21259337370212,0.826,0.249,0,"9","Sash1"
"Erbb3",0,1.21207290824809,0.734,0.081,0,"9","Erbb3"
"Tbx3",0,1.20744571209454,0.658,0.049,0,"9","Tbx3"
"Abca8a",0,1.19440174432842,0.449,0.066,0,"9","Abca8a"
"Plxna4",0,1.18669957149401,0.665,0.06,0,"9","Plxna4"
"Fxyd1",0,1.18312235548053,0.767,0.137,0,"9","Fxyd1"
